IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.192.115.191","aegis.stage.att.com","AT&T Services, Inc.","aegis.stage.att.com",""
"34.192.166.137","iotconsole.stage.att.com","AT&T Services, Inc.","iotconsole.stage.att.com|mc.stage.att.com",""
"34.193.33.153","xaaf-metrics-ravenl.att.com","AT&T Services, Inc.","",""
"34.195.90.6","bds.att.com.mx","AT&T Services, Inc.","bds.att.com.mx",""
"34.195.204.214","insider.att.com","AT&T Services, Inc.","insider.att.com",""
"23.20.97.59","xaaf.att.com","AT&T Services, Inc.","xaaf.att.com",""
"23.22.180.92","iotconsole.test.att.com","AT&T Services, Inc.","iotconsole.test.att.com|mc.test.att.com",""
"23.23.50.75","iotconsole.stage.att.com","AT&T Services, Inc.","iotconsole.stage.att.com|mc.stage.att.com",""
"34.224.133.228","adr2-test.att.com","AT&T Services, Inc.","adr2-test.att.com",""
"34.225.134.157","xaaf-metrics-ravenl.att.com","AT&T Services, Inc.","",""
"54.208.107.114","salesforceabs.att.com","AT&T Services, Inc.","salesforceabs.att.com",""
"54.208.170.141","E911portal.att.com","AT&T Services, Inc.","E911portal.att.com",""
"18.189.162.57","nonprod-external-cpop-useast2.aws.cloud.att.com","AT&T Services, Inc.","nonprod-external-cpop-useast2.aws.cloud.att.com",""
"3.129.82.198","nonprod-external-cpop-useast2.aws.cloud.att.com","AT&T Services, Inc.","nonprod-external-cpop-useast2.aws.cloud.att.com",""
"3.129.111.113","nonprod-external-cpop-useast2.aws.cloud.att.com","AT&T Services, Inc.","nonprod-external-cpop-useast2.aws.cloud.att.com",""
